"seen_instruction_id","student_id","instruction_id"
bbf08fd2-4b91-4bca-a845-ea8c3d4e1836,fc8d7fa9-4736-4008-866b-e48de6fca66b,"env.space-world"
d3ee78e6-c724-40b8-9e18-846f62dc196f,fc8d7fa9-4736-4008-866b-e48de6fca66b,"env.toolbox"
f1573d1b-906d-4295-bf53-0f45f7231dfc,fc8d7fa9-4736-4008-866b-e48de6fca66b,"env.snapping"
1cd592e4-8ee5-4a6d-a683-256aeacc1402,fc8d7fa9-4736-4008-866b-e48de6fca66b,"env.controls"
b4823174-5090-4453-be2e-2a6861ce8e67,fc8d7fa9-4736-4008-866b-e48de6fca66b,"block.fly"
0000f00a-7648-4764-a81d-d0cc213eb265,b3e36ff8-a288-4562-b124-895030910a93,"env.space-world"
fa30aa22-d482-44e3-94b3-4e3899a1b3de,b3e36ff8-a288-4562-b124-895030910a93,"env.toolbox"
c2fac787-6cd5-461d-b510-6ef9a22dfbb5,b3e36ff8-a288-4562-b124-895030910a93,"env.snapping"
39fc9f73-89de-4a5e-ba0b-62a6bc910641,b3e36ff8-a288-4562-b124-895030910a93,"env.controls"
75f61803-a85b-452e-8042-18bbf2ce0414,b3e36ff8-a288-4562-b124-895030910a93,"object.asteroid"
ca85527e-7c9c-488e-a673-020e28a030be,b3e36ff8-a288-4562-b124-895030910a93,"object.meteoroid"
91eed37b-8934-46c2-9bc6-b99c711ae553,b3e36ff8-a288-4562-b124-895030910a93,"length-limit"
eaff3010-ff30-41b2-af10-0180fab9c262,b3e36ff8-a288-4562-b124-895030910a93,"block.fly"
a3c26660-a61b-426c-8bd2-60cd33040bc0,52fe8511-1b3e-48d2-bf1c-df5b6f733b30,"env.space-world"
04d52282-a366-4626-9956-6f1c69daf586,52fe8511-1b3e-48d2-bf1c-df5b6f733b30,"env.toolbox"
4c44c40d-4770-49fa-8090-998ffcb81afc,52fe8511-1b3e-48d2-bf1c-df5b6f733b30,"env.snapping"
ed0fd182-d00e-44c2-b543-79f546adfc53,52fe8511-1b3e-48d2-bf1c-df5b6f733b30,"env.controls"
c7f9c784-9b15-4a20-9851-1620b2a5f4f3,52fe8511-1b3e-48d2-bf1c-df5b6f733b30,"object.asteroid"
85a72d92-40c7-41b3-a4c6-11e0abf7f8b0,52fe8511-1b3e-48d2-bf1c-df5b6f733b30,"object.meteoroid"
f65ac80d-faa1-41bb-b2da-ddece9b47dc3,52fe8511-1b3e-48d2-bf1c-df5b6f733b30,"object.diamond"
01d47b35-3114-429a-ae0d-96c3d925bb1c,52fe8511-1b3e-48d2-bf1c-df5b6f733b30,"diamonds-status"
f5558549-62e3-427c-a1c9-283bee300f76,52fe8511-1b3e-48d2-bf1c-df5b6f733b30,"block.fly"
7b8823e0-dfba-483b-a2e0-e1afff5c5330,26589bc6-ec87-4b23-916e-606e5da913d7,"env.space-world"
012b2bba-4c89-451c-9ee5-ed9529a32df9,26589bc6-ec87-4b23-916e-606e5da913d7,"env.toolbox"
f8046498-c4bd-4e66-a6be-1147bdf7b09c,26589bc6-ec87-4b23-916e-606e5da913d7,"env.snapping"
b8e8c312-36b8-424a-b77b-069fec6d12f0,26589bc6-ec87-4b23-916e-606e5da913d7,"env.controls"
277545a1-9fd0-4dfd-82a4-9d8644430f00,26589bc6-ec87-4b23-916e-606e5da913d7,"object.asteroid"
d2a8468d-047e-48d8-af85-9a2e288a9adc,26589bc6-ec87-4b23-916e-606e5da913d7,"object.meteoroid"
550d9dc1-a23a-4ce4-9a63-fae39feb14c5,26589bc6-ec87-4b23-916e-606e5da913d7,"block.fly"
7ebaaa13-6ddb-4cd3-b979-3be3be56da5b,50812d82-5a20-4031-88b6-e33092ba0785,"env.space-world"
25fe13bc-676c-415b-8b11-11cc20877071,50812d82-5a20-4031-88b6-e33092ba0785,"env.toolbox"
dbb637f2-80c8-4e31-9c1f-09ab02421912,50812d82-5a20-4031-88b6-e33092ba0785,"env.snapping"
c2c7670b-afcf-474c-8612-d1cdb0c68921,50812d82-5a20-4031-88b6-e33092ba0785,"env.controls"
366d1528-3302-4383-b374-6476350db7c9,50812d82-5a20-4031-88b6-e33092ba0785,"object.asteroid"
7d02faa0-c311-4f60-96fd-47381f5ab04f,50812d82-5a20-4031-88b6-e33092ba0785,"object.meteoroid"
a7c9cdbf-d09d-4636-a2e6-7fe8835bf442,50812d82-5a20-4031-88b6-e33092ba0785,"block.fly"
fbca1fa7-a95a-4336-937f-9d9779cb497d,50812d82-5a20-4031-88b6-e33092ba0785,"object.diamond"
ab5734b6-e023-4549-a175-0df4aa2e0267,50812d82-5a20-4031-88b6-e33092ba0785,"diamonds-status"
8446c3f5-52ad-4a79-aef1-2aa38dbf99ee,76766f0e-5c06-46bb-9ad5-a8008edf6a7d,"env.space-world"
262d28dc-9899-42e2-82b3-f93c58f24db5,76766f0e-5c06-46bb-9ad5-a8008edf6a7d,"env.toolbox"
6ee30408-349e-4f7c-9ff5-fd18221e7037,76766f0e-5c06-46bb-9ad5-a8008edf6a7d,"env.snapping"
739d47e2-58f4-4a64-8f4c-c6cafa52ef1b,76766f0e-5c06-46bb-9ad5-a8008edf6a7d,"env.controls"
2e13bbcc-355e-41a4-8327-3b412ab01a30,76766f0e-5c06-46bb-9ad5-a8008edf6a7d,"object.asteroid"
