"session_id","student_id","start","end"
e7cfdea5-8a10-47e5-805d-ca4c37ab4a07,c581d789-031c-4b28-a7c1-5f42a7d8cb18,"2017-05-17 08:47:37.627630","2017-05-17 08:48:24.968230"
5608712a-e3ef-4c9b-96e2-ff540de258b9,b40d2b20-bd88-4e5c-855d-afb34542cd25,"2017-05-18 05:20:43.392146","2017-05-18 05:20:43.392146"
ef9ffec7-45d0-4cb1-87e1-7fce324bf1c5,fc8d7fa9-4736-4008-866b-e48de6fca66b,"2017-05-15 05:31:16.737132","2017-05-15 05:31:30.445010"
48a2d9e2-0d50-4f19-a539-d32cd40263b6,04f98365-bd35-4752-a47d-945601c7546b,"2017-05-15 05:50:03.153943","2017-05-15 05:50:03.153943"
de26ce8a-2efb-4e0a-9527-aa4ce2b04135,b3e36ff8-a288-4562-b124-895030910a93,"2017-05-15 09:46:49.659155","2017-05-15 09:46:52.628007"
417700d1-e05c-4d96-860b-3e27dae50c43,76766f0e-5c06-46bb-9ad5-a8008edf6a7d,"2017-05-16 06:41:55.903793","2017-05-16 06:44:18.367982"
0da6af6a-f010-4ae4-98c7-9ff930c1dbd3,26589bc6-ec87-4b23-916e-606e5da913d7,"2017-05-27 16:07:39.654059","2017-05-27 16:07:39.654059"
e2131559-12a1-464e-92e7-508bc148a7a7,78521e7a-db79-472e-982e-12d07c1017f0,"2017-05-27 17:14:36.892068","2017-05-27 17:14:36.892068"
5f77cc53-0e99-45b4-b90d-374dc9e5ee2d,b5d2cbc8-06ce-4ef5-a0e8-d02e88504f86,"2017-05-26 07:34:08.261620","2017-05-26 07:35:57.236074"
a82ef64c-cbe6-4c18-8e3b-6eda2670c716,92e91c17-b991-44c8-9cbd-f5cdfbaaa071,"2017-05-22 05:14:47.510714","2017-05-22 05:16:11.292111"
40f4cb43-0524-42e9-bcdd-a4fd511775a7,47fbd249-68f9-4f12-bc33-96542188dbbc,"2017-05-22 06:35:32.957345","2017-05-22 06:35:32.957345"
794759c5-9018-4a96-b9ad-5c57d3aed304,9235f81e-2abe-43df-b8cc-53711cc8ff95,"2017-05-27 19:36:22.715282","2017-05-27 19:36:22.715282"
97f19812-84b2-4102-94f4-7ea6720cba42,78521e7a-db79-472e-982e-12d07c1017f0,"2017-05-28 01:17:36.714268","2017-05-28 01:17:36.714268"
aef24c6f-f467-4c4d-9840-125de3ffd1d7,78521e7a-db79-472e-982e-12d07c1017f0,"2017-05-28 09:36:57.086752","2017-05-28 09:36:57.086752"
c80625e9-9554-4f8a-b165-74b4e0503b1c,52fe8511-1b3e-48d2-bf1c-df5b6f733b30,"2017-05-15 15:47:51.303583","2017-05-15 15:49:15.705766"
09dcbb96-5978-4554-9d09-68901805f75a,3aa1c273-4ecd-4249-aa70-1f2cc192d923,"2017-05-28 10:14:29.268351","2017-05-28 10:14:29.268351"
4c520fb3-d482-4203-8e9e-58d88325258e,c36ea6ac-26cd-4e2d-b216-57a38dd008e0,"2017-05-22 14:23:23.485021","2017-05-22 14:33:13.064182"
9d0abc6f-c765-438a-9717-32512d0a0fe5,b40d2b20-bd88-4e5c-855d-afb34542cd25,"2017-05-23 03:44:26.304366","2017-05-23 03:44:26.304366"
6cde41d1-c45e-48d3-af2a-4f3ee591d8fe,884a8542-f1e3-468c-868c-673f9b26a05c,"2017-05-23 04:51:40.603146","2017-05-23 04:51:40.603146"
d49a97af-af07-4576-a836-9ac08099d5ce,26589bc6-ec87-4b23-916e-606e5da913d7,"2017-05-16 04:20:31.703414","2017-05-16 04:22:33.021624"
